SummaryText,Education,ToolsAndTechnologies,WorkExperience,Extra-curricular,AwardsAndRecognition,Reference,Declaration
Career Goal,Education and Training,Credentials,Employment History,Activities and Honors,Honors,Referees,Declaration
Profile,Academic Background,Areas of Experience,Work History,Affiliations,Academic Honors,Reference,Declarations
profile summary,Academic Experience,Areas of Expertise,Work Experience,Professional Affiliations,Accolades,References,
Objective,Programs,Areas of Knowledge,Experience,Associations,Endorsements,,
Career Objective,Courses,Skills,Professional Experience,Professional Associations,Achievements,,
Employment Objective,Related Courses,Career Related Skills,Professional Background,Memberships,Awards,,
Professional Objective,Education,Professional Skills,Additional Experience,Professional Memberships,Distinctions,,
Summary,Educational Background,Specialized Skills,Career Related Experience,Athletic Involvement,Fellowships,,
Career Summary,Educational Qualifications,Technical Skills,Related Experience,Community Involvement,Scholarships,,
Professional Summary,Educational Training,Computer Skills,Freelance,Civic Activities,,,
Summary of Qualifications,Education and Training,Computer Knowledge,Freelance Experience,Extra-Curricular Activities,,,
Objectives,Training,Software,Army Experience,Professional Activities,,,
Personal Details,Academic Training,Technologies,Military Experience,Volunteer Work,,,
Personal Information,Professional Training,Technical Experience,Military Background,Volunteer Experience,,,
Residential Address,Course Project Experience,Proficiencies,Professional Exposure,Extra-curricular,,,
Hobbies,Related Course Projects,Languages,,Professional memberships and certifications,,,
,Internship Experience,Language Competencies and Skills,,Extra Curricular Activities,,,
,Internships,Programming Languages,,,,,
,Apprenticeships,certifications and skills,,,,,
,College Activities,Tools and Technologies,,,,,
,Certifications,Strengths,,,,,
,Special Training,,,,,,
,Academic Qualifications,,,,,,
,Academic Qualification,,,,,,
,Academics,,,,,,
,Academic Details,,,,,,
